lokalisation,geschlecht,alle,0-44,45-59,60-74,75+,typ
Speiseröhre,Weiblich,0.006158470863047198,5.794277304306084e-4,0.007928773519100818,0.019461851194113363,0.009313891127110788,rel
Magen,Zusammen,0.08003922350712711,0.013783256214298299,0.09830354871294611,0.21238284315988734,0.20119547077479538,rel
Magen,Männlich,0.08909747661191239,0.013836713845119324,0.11671597573752857,0.2564283832158304,0.2369725380516586,rel
Magen,Weiblich,0.07133372708156883,0.01372798007481749,0.07988992052157279,0.1731532348888027,0.17869674836898605,rel
Darm,Zusammen,0.4957054964477163,0.061728827910458355,0.5902729165443518,1.4769160436845623,1.1547795559869947,rel
Darm,Männlich,0.5459821483463527,0.05905388775019775,0.641686972369525,1.7840731624239232,1.4542122901949168,rel
Darm,Weiblich,0.4473867744679343,0.06449476353331464,0.5388555066335733,1.203343431553671,0.9664786560271705,rel
Leber,Zusammen,0.019815704676008013,0.0035060747126990904,0.02132670148187958,0.06327585776253236,0.03843059554125305,rel
Leber,Männlich,0.029013429883974658,0.004482922865708442,0.03040837545010417,0.10138239962981767,0.06509856059849344,rel
Leber,Weiblich,0.010976167626759396,0.002495996377239544,0.012244435054813919,0.02933587863818558,0.021660211923513462,rel
Bauchspeicheldrüse,Zusammen,0.028020101699758698,0.003418422844881613,0.03151333771910676,0.08893436946288939,0.06103682821257837,rel
Bauchspeicheldrüse,Männlich,0.027854784354785774,0.0031035619839519983,0.032315171270407735,0.09431294545594765,0.0678540552270011,rel
Bauchspeicheldrüse,Weiblich,0.028178981070769465,0.0037439945658593156,0.03071145185879557,0.08414388604513719,0.056749755239605265,rel
Kehlkopf,Zusammen,0.03314205577390814,0.005259112069048635,0.06277577306783848,0.08636094941034621,0.030318947347424553,rel
Kehlkopf,Männlich,0.05809779724932822,0.008189955235428883,0.10828593105829175,0.15809870243382027,0.07026511302694528,rel
Kehlkopf,Weiblich,0.009158168848000078,0.0022285681939638786,0.01726264614285241,0.022466989981439693,0.00519845086164323,rel
Lunge,Zusammen,0.1534500358594726,0.018100110704309055,0.22044282261152234,0.4868305228811103,0.21156774223575642,rel
Lunge,Männlich,0.17944818206151888,0.018793792013931544,0.245675587794901,0.606687703648481,0.31998181373545187,rel
Lunge,Weiblich,0.12846433870408047,0.017382831912918253,0.19520841132469732,0.3800785056732727,0.1433906029336591,rel
Melanom,Zusammen,0.2407781940105816,0.14916156605839193,0.31131966116136683,0.4206028009406607,0.2938810247272292,rel
Melanom,Männlich,0.2293881689522723,0.11815088052795038,0.2930444102782316,0.4763848096710133,0.37026959070571663,rel
Melanom,Weiblich,0.25172465590396237,0.18122716553314258,0.32959610426236813,0.37091998746427823,0.24584340533187776,rel
Brust,Zusammen,0.8669892261666032,0.2557462373244443,1.4823312041758183,1.9528473757549014,1.0378920352923184,rel
Brust,Männlich,0.015298850150718501,0.0024569865706286654,0.017361877732237695,0.05061086510838758,0.03513255651347264,rel
Brust,Weiblich,1.685512117757235,0.5176518200939297,2.9473961004485276,3.6470936730380377,1.6684861244682418,rel
Gebärmutter,Zusammen,0.1598698606492436,0.017486547629586714,0.26510344453828194,0.46442663065896966,0.20997200816483932,rel
Gebärmutter,Männlich,0,0,0,0,0,rel
Gebärmutter,Weiblich,0.3135138893970448,0.035567948375663495,0.5302241835621471,0.8780729332873499,0.3420147462722775,rel
Eierstock,Zusammen,0.07667866540417838,0.03896125524486864,0.13107139828392816,0.1313201115047771,0.06542509690760034,rel
Eierstock,Männlich,0,0,0,0,0,rel
Eierstock,Weiblich,0.1503712239881303,0.07924788497735552,0.2621513472391308,0.24828170457196092,0.10656824266368622,rel
Prostata,Zusammen,0.7109086844817191,0.007954407004436061,0.7411154216138341,2.925373089141,1.00611033171322,rel
Prostata,Männlich,1.4506242025444802,0.015647125002424656,1.4821824984243845,6.209872814092635,2.606009044911118,rel
Prostata,Weiblich,0,0,0,0,0,rel
Hoden,Zusammen,0.1042004774541895,0.16272569260314654,0.06879742995683977,0.012867100262715911,0.0033244459810772534,rel
Hoden,Männlich,0.212623277519723,0.3200979346226047,0.1375903720861149,0.027313800217225046,0.008610920714086433,rel
Hoden,Weiblich,0,0,0,0,0,rel
Niere,Zusammen,0.17255886452072242,0.039377601617001656,0.24919623425650353,0.4760827097204887,0.2444132685287997,rel
Niere,Männlich,0.20907640345077744,0.046941375007273974,0.31833454431594205,0.586764696431211,0.31998181373545187,rel
Niere,Weiblich,0.13746343265893912,0.03155652562652852,0.18005341383882106,0.377502672426993,0.19689132638473733,rel
Harnblase,Zusammen,0.18072849715030467,0.021759576185688728,0.20553922181124415,0.552982555996485,0.42566206341713153,rel
Harnblase,Männlich,0.2710994080030721,0.030518359508861316,0.30859984986491856,0.8778976728642215,0.7639608857537483,rel
Harnblase,Weiblich,0.0938769119381844,0.012702838705594107,0.102471870417746,0.2635936022026236,0.21291988320813732,rel
Gehirn,Zusammen,0.04624823237540818,0.04750731235707267,0.05113390308243598,0.05131702340071405,0.01675520774462936,rel
Gehirn,Männlich,0.046062071242039634,0.050001831963671084,0.04415737689124038,0.047397476847537576,0.018255151913863236,rel
Gehirn,Weiblich,0.04642714381256614,0.04492793479031179,0.05811088439948573,0.054808007406951596,0.015811954704164823,rel
Schilddrüse,Zusammen,0.1619557242993497,0.11620446375902047,0.27403556892363384,0.21563746263810374,0.04827095564524172,rel
Schilddrüse,Männlich,0.08649643562801898,0.053665759305836634,0.15103830050299266,0.13223092693397773,0.029277130427893875,rel
Schilddrüse,Weiblich,0.23447639249048335,0.1808705946221084,0.3970408612856055,0.2899243420534829,0.06021538914736742,rel
Hodgkin-Lymphom,Zusammen,0.04119580708959561,0.057390060453493236,0.029405757807956314,0.021117182195869055,0.0094414265862594,rel
Hodgkin-Lymphom,Männlich,0.0433191552953884,0.05771763189599619,0.033318748017935926,0.021208362521610038,0.009988668028340262,rel
Hodgkin-Lymphom,Weiblich,0.03915514869752886,0.05705134576547529,0.025492512327235536,0.021035971511284297,0.009097289007875653,rel
Non-Hodgkin-Lymphom,Zusammen,0.1367283622644553,0.06416116724239335,0.17407606456621239,0.29897085904545795,0.19308382258096687,rel
Non-Hodgkin-Lymphom,Männlich,0.14497256611136805,0.0735371770086404,0.18144667595309683,0.3194107931284905,0.21665076516641465,rel
Non-Hodgkin-Lymphom,Weiblich,0.12880521347509785,0.0544662066604772,0.16670497234463869,0.28076582384448834,0.17826354413051576,rel
Plasmozytom&Myelom,Zusammen,0.024798601173483713,0.0036375525144253067,0.02965666017833137,0.0728126497219571,0.055983670321340946,rel
Plasmozytom&Myelom,Männlich,0.026317805591576034,0.0043536077830437754,0.0337201787169472,0.07953135945603763,0.06234306596998578,rel
Plasmozytom&Myelom,Weiblich,0.023338559322322774,0.002897138652153042,0.025592876548996307,0.06682856255625691,0.05198450861643231,rel
Leukämien,Zusammen,0.08965737256039415,0.06225473911736322,0.08836781484609398,0.1753710076983104,0.10877587250084773,rel
Leukämien,Männlich,0.10472736834239915,0.06944219939092595,0.10537555849046,0.21433299699869537,0.1494855835965405,rel
Leukämien,Weiblich,0.07517424950169789,0.05482277757151141,0.07135896167190735,0.14066911561627524,0.08317521378629168,rel
